trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
127,False,"{'a': 0.1, 'e': 0.16686613143532683}",35,21,11.82878663336728,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
128,False,"{'a': 0.1, 'e': 0.16453000559523226}",20,0,16.74055734903989,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
129,False,"{'a': 0.1, 'e': 0.162226585516899}",25,8,29.292120017100274,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.1, 'e': 0.15995541331966243}",20,6,27.804349969094893,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.1, 'e': 0.15771603753318714}",25,13,-15.892530089676715,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
132,False,"{'a': 0.1, 'e': 0.15550801300772252}",20,6,22.793651529585322,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.1, 'e': 0.1533309008256144}",20,5,7.495055725547457,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
134,False,"{'a': 0.1, 'e': 0.15118426821405578}",20,7,13.166147226676262,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.1, 'e': 0.14906768845905902}",25,20,8.273904153586631,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.1, 'e': 0.14698074082063217}",20,0,30.45385944390227,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
137,False,"{'a': 0.1, 'e': 0.14492301044914332}",20,9,19.51482345379594,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.1, 'e': 0.14289408830285533}",25,15,5.567388596346143,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
139,False,"{'a': 0.1, 'e': 0.14089357106661535}",20,8,22.776113747488694,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.1, 'e': 0.13892106107168273}",25,17,-4.911813599710248,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
141,False,"{'a': 0.1, 'e': 0.13697616621667918}",25,12,22.508868731243513,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.1, 'e': 0.13505849988964566}",20,0,36.96177428848361,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
143,False,"{'a': 0.1, 'e': 0.13316768089119063}",30,7,17.660891780153005,"{0: 22, 1: 0, 2: 0, 3: 1, 4: 0}",1
144,False,"{'a': 0.1, 'e': 0.13130333335871394}",30,13,-10.650770824549436,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
145,False,"{'a': 0.1, 'e': 0.12946508669169196}",25,0,-2.7767175533343575,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
146,False,"{'a': 0.1, 'e': 0.12765257547800826}",25,19,1.7988302705981514,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.1, 'e': 0.12586543942131614}",20,8,18.44706942629389,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.1, 'e': 0.12410332326941773}",20,9,-20.681787391730463,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
149,False,"{'a': 0.1, 'e': 0.12236587674364587}",30,16,17.909772772668372,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
150,False,"{'a': 0.1, 'e': 0.12065275446923483}",25,16,-8.035444659256923,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
151,False,"{'a': 0.1, 'e': 0.11896361590666554}",20,0,33.78894176646813,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.1, 'e': 0.11729812528397222}",20,7,-9.584381371854706,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 0}",1
153,False,"{'a': 0.1, 'e': 0.11565595152999661}",20,14,4.481364573332162,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.1, 'e': 0.11403676820857665}",20,2,29.97932233084087,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
